ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
388555001,Photo,Red-tailed Hawk,Buteo jamaicensis,,Katherine Holland,2021-11-16,2021,11,16,854,United States,US-CO-059,Colorado,Jefferson,Main Reservoir (Lakewood),39.6931431,-105.1181316,Adult – 1,,Unspecified,"","",,,,,,,S97670526,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,2736,3648
388554921,Photo,Red-tailed Hawk,Buteo jamaicensis,,Katherine Holland,2021-11-16,2021,11,16,854,United States,US-CO-059,Colorado,Jefferson,Main Reservoir (Lakewood),39.6931431,-105.1181316,Immature – 1,,Unspecified,"","",,,,,,,S97670526,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,2736,3648
388554761,Photo,Red-tailed Hawk,Buteo jamaicensis,,Katherine Holland,2021-11-16,2021,11,16,854,United States,US-CO-059,Colorado,Jefferson,Main Reservoir (Lakewood),39.6931431,-105.1181316,Adult – 1,,Unspecified,"","",,,,,,,S97670526,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,2736,3648
388554711,Photo,Red-tailed Hawk,Buteo jamaicensis,,Katherine Holland,2021-11-16,2021,11,16,854,United States,US-CO-059,Colorado,Jefferson,Main Reservoir (Lakewood),39.6931431,-105.1181316,Immature – 1,,Unspecified,"","",,,,,,,S97670526,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,2736,3648
388548741,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jill Bell,2021-11-09,2021,11,9,730,United States,US-KS-185,Kansas,Stafford,Quivira NWR--Big Salt Marsh,38.1786281,-98.5405827,"",,Unspecified,"","",,,,,,,S97669458,"",,,,"One dark morph juvenile, two intermediate adults",Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,1000,1500
388548621,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jill Bell,2021-11-09,2021,11,9,730,United States,US-KS-185,Kansas,Stafford,Quivira NWR--Big Salt Marsh,38.1786281,-98.5405827,"",,Unspecified,"","",,,,,,,S97669458,"",,,,"One dark morph juvenile, two intermediate adults",Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,1067,1500
388548611,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jill Bell,2021-11-09,2021,11,9,730,United States,US-KS-185,Kansas,Stafford,Quivira NWR--Big Salt Marsh,38.1786281,-98.5405827,"",,Unspecified,"","",,,,,,,S97669458,"",,,,"One dark morph juvenile, two intermediate adults",Buteo jamaicensis,rethaw,Species,8094,,2.00,1,,939,1500
388544611,Photo,Red-tailed Hawk,Buteo jamaicensis,,Michael Niven,2021-11-16,2021,11,16,1048,United States,US-PA-029,Pennsylvania,Chester,Hibernia County Park--Chambers Lake,40.0308266,-75.8571303,"",,Unspecified,"","",,,,,,,S97664666,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,1171,1085
388542321,Photo,Red-tailed Hawk,Buteo jamaicensis,,Luis Munoz,2021-11-16,2021,11,16,700,United States,US-IL-043,Illinois,DuPage,Wood Dale Reservoir,41.9726752,-87.9885417,"",,Unspecified,"","",,,,,,,S97668434,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,3206,2948
388540041,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kate Reed,2021-11-12,2021,11,12,1319,United States,US-CA-083,California,Santa Barbara,UCSB--Campus Lagoon,34.4076516,-119.8451650,"",,Unspecified,"","",,,,,,,S97667963,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2544,3816
388539901,Photo,Red-tailed Hawk,Buteo jamaicensis,,Erica Kawata,2021-11-10,2021,11,10,1455,United States,US-CA-013,California,Contra Costa,Pt. Isabel Regional Shoreline,37.9001201,-122.3251247,"",,Unspecified,"","",,,,,,,S97426846,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,625,677
388538591,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gavin Edmondstone,2021-11-16,2021,11,16,904,Canada,CA-ON-HT,Ontario,Halton,Oakville--Petro Canada Park,43.3981527,-79.7252056,"",,Unspecified,"","",,,,,,,S97663963,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2138,1604
388538021,Photo,Red-tailed Hawk,Buteo jamaicensis,,Noam Markus,2021-11-16,2021,11,16,1125,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Seton Park (feeders by pond behind OSC),43.7146197,-79.3427467,"",,Unspecified,"","",,,,,,,S97667327,"",,,,Seen together.,Buteo jamaicensis,rethaw,Species,8094,,2.50,2,,1307,2288
388533181,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kent Leland,2021-11-14,2021,11,14,1041,United States,US-CA-045,California,Mendocino,Covelo- Dobie Lane,39.7748420,-123.2147169,Adult – 1,Flying,Unspecified,"","",,,,,,,S97642294,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,3,"",1433,1672
388529801,Photo,Red-tailed Hawk,Buteo jamaicensis,,Wes Hatch,2021-11-14,2021,11,14,907,United States,US-GA-051,Georgia,Chatham,Lazaretto Creek Fishing Access,32.0132433,-80.8848453,"",,Unspecified,"","",,,,,,,S97562943,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1737,1808
388526591,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Felton,2021-11-16,2021,11,16,903,United States,US-MA-003,Massachusetts,Berkshire,Laurel Lake (incl. Edith Wharton Park),42.3254193,-73.2708883,"",,Unspecified,"","",,,,,,,S97662211,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,1024,1280
388526331,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Felton,2021-11-16,2021,11,16,903,United States,US-MA-003,Massachusetts,Berkshire,Laurel Lake (incl. Edith Wharton Park),42.3254193,-73.2708883,"",,Unspecified,"","",,,,,,,S97662211,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1025,1280
388526291,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Felton,2021-11-16,2021,11,16,903,United States,US-MA-003,Massachusetts,Berkshire,Laurel Lake (incl. Edith Wharton Park),42.3254193,-73.2708883,"",,Unspecified,"","",,,,,,,S97662211,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1025,1280
388513201,Photo,Red-tailed Hawk,Buteo jamaicensis,,Anonymous,2021-11-14,2021,11,14,705,United States,US-NJ-027,New Jersey,Morris,Great Swamp NWR,40.7138227,-74.4630130,"",,Unspecified,"","",,,,,,,S97661869,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1289,1080
388508051,Photo,Red-tailed Hawk,Buteo jamaicensis,,César Lezama García,2021-03-20,2021,3,20,920,Mexico,MX-BCN-005,Baja California,Tijuana,Rancho Santa Anita,32.3633850,-116.8000790,"",,Unspecified,"","",,,,,,,S97660724,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1024,769
388489141,Photo,Red-tailed Hawk,Buteo jamaicensis,,Tim Carney,2021-11-05,2021,11,5,750,United States,US-MD-041,Maryland,Talbot,Poplar Island,38.7648589,-76.3814163,"",,Unspecified,"","",,,,,,,S97655886,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,2.00,1,,2808,3744
388487331,Photo,Red-tailed Hawk,Buteo jamaicensis,,Sherman Garnett,2021-11-13,2021,11,13,1144,United States,US-MI-129,Michigan,Ogemaw,"1494 M-55, West Branch US-MI 44.27676, -84.18421",44.2767590,-84.1842110,"",,Unspecified,"","",,,,,,,S97517158,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1791,2685
388487271,Photo,Red-tailed Hawk,Buteo jamaicensis,,Dani Siddle,2021-11-14,2021,11,14,1015,United States,US-NY-111,New York,Ulster,Plumaged Pals Of Ponckhockie,41.9259687,-73.9740965,"",,Unspecified,"","",,,,,,,S97614270,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2397,3196
388486441,Photo,Red-tailed Hawk,Buteo jamaicensis,,Cherrie Sneed,2021-11-15,2021,11,15,1137,United States,US-NC-179,North Carolina,Union,"Zion Church Rd, Marshville US-NC 34.82301, -80.36806",34.8230060,-80.3680580,"",,Unspecified,"","",,,,,,,S97625569,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,1.00,1,,3456,4608
388482501,Photo,Red-tailed Hawk,Buteo jamaicensis,,Wido Hoville,2021-11-11,2021,11,11,800,Canada,CA-QC-HL,Quebec,Le Haut-Saint-Laurent,RNF du Lac-St-François--Digue aux aigrettes,45.0442368,-74.4518137,"",,Unspecified,"","",,,,,,,S97458800,"",,,,Harassed by 3 Ravens,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1403,2151
